Restaurant,Item,Price,Photo
Rahi,banana leaf chicken,23,https://s3-media3.fl.yelpcdn.com/bphoto/K1m1-dXn6rA9MLFuraajyQ/258s.jpg
Rahi,edamame artichoke chaat,9,https://s3-media1.fl.yelpcdn.com/bphoto/ogiOicJLdaycBzZIatOSOg/o.jpg
Rahi,Lasooni chicken Tikka,9,https://s3-media3.fl.yelpcdn.com/bphoto/Y0J424tGVJ2iHFShRJyj-w/258s.jpg
Rahi,Tulsi chicken,15,https://s3-media2.fl.yelpcdn.com/bphoto/qgTI4hKt13dCKbepauk7dQ/258s.jpg
Rahi,inked crab,23,https://s3-media4.fl.yelpcdn.com/bphoto/L4pjjz9VgiXcRuPrcif-Uw/258s.jpg
Queen of Sheba,Doro Wot,16,https://s3-media1.fl.yelpcdn.com/bphoto/qkSosgbELtEXzSDrmqIEEA/258s.jpg
Queen of Sheba,Baklava,6,https://s3-media1.fl.yelpcdn.com/bphoto/i8IWj02kxc7fEJff0u9QzQ/258s.jpg
Queen of Sheba,Rum cake,6,https://s3-media1.fl.yelpcdn.com/bphoto/lVQovj8PFmZojx7h8Pt6Mw/258s.jpg
Queen of Sheba,Doro Tibs,17,https://s3-media3.fl.yelpcdn.com/bphoto/Cbwbqe_uS-0MA2YmICHm5g/258s.jpg
Queen of Sheba,Yebeg Wot entree,20,https://s3-media1.fl.yelpcdn.com/bphoto/39v61ZJDqMT5EgjEEg_pvA/258s.jpg
Tuscany Steakhouse,veal parm,40,https://s3-media4.fl.yelpcdn.com/bphoto/-90tDPLflSTFUWDVZ0H-cw/258s.jpg
Tuscany Steakhouse,Filet mignon,45,https://s3-media4.fl.yelpcdn.com/bphoto/2KfQSrhEOODvVGgzbT5uGA/258s.jpg
Tuscany Steakhouse,seafood tower,45,https://s3-media4.fl.yelpcdn.com/bphoto/4I_MCai25_TOy9RkUaT3TQ/258s.jpg
